Emmental	intensite du parfum	parfum propionique	parfum butyrique	texture ferme	texture souple	texture granuleuse	texture collante	texture fondante	texture caracteristique	intensite du gout	gout acide	gout sale	gout sucre	gout piquant	gout fruite	gout amer	gout caracteristique
1	5,1	4	3,7	3,8	4,8	3,7	3,3	3	3,9	5,6	4,8	4,3	3,9	4,1	3,4	3,2	3,6
2	4,7	3,9	3,4	5,2	3	4	3,3	4	3,6	5,8	4,3	4,9	4	4,3	4,8	3,2	3,7
3	4,7	4,2	2,9	3,7	3,3	2,8	3,4	4,7	3,9	5,7	4,3	4,7	3,9	4,2	4,9	3	4
4	5,3	4,6	3,9	3	3,6	2,4	3,4	5,4	4,2	5,6	4,2	4,6	4	4,2	4,9	4,1	4
5	4,3	4	2,6	3,9	4,1	3,3	2,9	4,2	3,7	5,1	4	4,3	3,9	4	4,3	3,8	4
6	4,7	4	3,5	4,5	4,6	3,3	3,5	4,2	4,4	4,9	3,6	4,2	3,2	3,5	4	3,2	3,9
7	3,6	3,7	2,6	4,1	4,4	3,1	3,4	4,5	4,1	4,5	3,4	3,5	3,2	3	4,2	2,6	4,3
8	5,4	3,9	4	4,1	3,9	2,5	3,9	4,9	4	5	4,2	4,2	3,1	4,1	3,8	2,9	3,6
9	4	3,8	2,6	4,5	4	4,1	3,3	3,3	4,1	4,5	3,1	3,9	3,3	3,1	3,8	3,2	3,5
10	5	4,2	3,3	4,7	4,3	3,8	3,7	3,5	3,8	4,8	3,6	4	3	3,3	3,3	3,1	3,7
11	4,9	4,1	3,3	3,1	5,3	2,9	3,4	4,6	4,9	5,4	3,5	4,1	2,9	3,9	4,3	4	4,3
12	4,8	3,9	3,4	4,4	4	5,1	3,4	3,5	4	4,5	2,8	3,4	2,6	3	3,4	3,6	4
13	3,3	2,8	2,5	3,1	3,6	5,4	3	3,3	2,4	3,9	2,9	3,3	2,6	2,6	3,4	3,3	3,1
14	4,9	3	3,4	3,6	4,6	3,1	4,4	4	3,5	4,8	2,9	3,8	2,8	2,5	3,4	3,1	3,5
15	4,3	4,3	3,6	3,9	4,4	4,4	3,4	3,8	4,4	4,6	3,1	3,8	2,8	2,8	3,9	3,3	4,3
16	4,5	3,4	3	3,8	4,8	2,4	3,3	4,3	4	3,9	2,6	3,6	3	2,8	3,3	2,8	3,8
17	4,1	4,3	2,8	4,8	4,5	3,6	2,9	4,1	4,8	4,8	3,4	4	3,3	3,7	4	3,6	4,4
18	4,6	3,6	3,6	4,4	4,2	3,9	3,1	3,8	4,3	4,7	4,4	3,7	3,1	3,8	3,3	4,1	2,8
19	4,2	4,4	2,6	3,8	4,3	2,8	3,8	4,3	3,6	4,8	3,7	3,8	3	4	3,5	3,9	3,3
20	3,6	3,9	2,5	5,7	3,5	4,4	3,3	3	3,6	4,5	4,2	4,3	3,2	4,4	3,4	3,4	2,8
21	4,2	3,7	3,2	4,5	4,3	4,3	3,1	3,1	3,8	4,7	3,5	3,9	3,6	3,5	3,7	3,5	3,6
22	4,3	3,5	2,8	4,8	4,2	3,6	3,2	3,3	3,7	4,4	3,8	4,2	3,5	3,5	3,6	3,5	3,5
23	3,5	3,4	2,4	4,9	4,2	4,1	2,8	3	3,6	3,8	3,1	3,1	2,9	2,8	3,4	2,8	3,3
24	4,1	3,3	2,5	4,9	4	4,1	3,3	3,2	3,6	3,8	3,4	3,3	2,4	3,4	2,8	3,1	3,6
25	4	3,4	2,8	4	4,1	3,2	3,7	3,9	3,9	4,8	4,3	4,5	3,5	4,5	3,5	3,8	3,3
26	3,8	2,8	2,8	5,3	3,8	4	2,9	2,5	3,5	3,6	2,9	3,1	2,3	2,4	2,4	4,4	2,5
27	3,9	3,3	2,1	4,1	4,3	2,4	4,3	4,1	3,3	4	3	3,3	2,1	2,9	2,6	2,9	3,1
28	4,6	3	2,8	3,8	4,1	2,1	4,3	4,1	3	4,5	3,6	3,8	2,4	4,1	3	2,9	3,1
