Marque	Modele	Type	Prix	Capteur	FocaleMin	FocaleMax	Grossissement	Resolution	Poids	Viseur	Tactile	NoteGlobale	QualitePhoto	QualiteVideo	QualiteEcran	NoteDefinition	NoteQlteFaibleLumi	NoteVignettage	NoteDistorsion	NoteFlash	NoteVideoLumJour	NoteVideoLumFaible	NoteVideoSon	NoteTempsDemarrage	NoteDelaiDeclench	NoteDelai2prises
NIKON	D7200 18-55	Reflex	1140	24	27	82,5	3	1229	940	oui	non	15,1	4	5	4	5	3	5	3	4	5	4	5	5	5	5
NIKON	D7200 18-105	Reflex	1150	24	27	157,5	5,8	1229	1168	oui	non	14,5	4	5	4	5	4	5	2	4	5	4	5	5	4	5
NIKON	D3300	Reflex	430	24	27	82,5	3	921	700	oui	non	14,1	4	4	5	4	3	5	3	3	4	4	5	5	3	5
NIKON	D5500 18-55	Reflex	750	24	27	82,5	3	1037	674	oui	oui	14,1	4	4	5	5	4	4	3	4	4	4	3	5	4	5
CANON	EOS 1200D	Reflex	350	18	29	88	3	460	728	oui	non	13,9	4	4	4	3	4	5	3	4	4	4	3	5	4	4
NIKON	D5500 18-105	Reflex	950	24	27	157,5	5,8	1037	890	oui	oui	13,9	4	4	5	5	4	5	2	4	4	4	3	5	4	5
CANON	EOS 760D	Reflex	1100	24	29	216	7,5	1040	1101	oui	oui	13,8	4	4	4	4	4	5	2	4	5	4	4	5	4	4
CANON	EOS 750D 18-55	Reflex	800	24	29	88	3	1040	815	oui	oui	13,8	4	4	4	4	4	5	3	4	5	4	4	5	4	5
CANON	EOS 750D 18-135	Reflex	1050	24	29	216	7,5	1040	1070	oui	oui	13,5	3	4	4	4	4	5	2	3	4	4	4	5	4	5
PENTAX	K S2	Reflex	700	20	27,5	76,5	2,8	921	877	oui	non	13,3	4	3	4	4	4	4	4	3	3	3	3	4	4	5
PENTAX	K 3 II	Reflex	990	24	27	82,5	3	1037	1039	oui	non	13,1	4	3	4	3	4	5	3	2	3	3	4	4	4	4
PANASONIC	LUMIX DMC G7	Hybride	800	16	28	84	3	1040	561	oui	oui	15	4	4	5	4	4	4	5	3	4	4	5	5	4	4
PANASONIC	LUMIX DMC GF7	Hybride	420	16	24	64	2,7	1040	355	non	oui	14,6	4	4	5	4	4	4	4	4	5	3	5	5	4	3
FUJIFILM	X T 10	Hybride	800	16	24	76	3	920	584	oui	non	14,4	4	2	5	4	4	5	5	5	3	1	2	4	4	2
SAMSUNG	NX500	Hybride	600	28	24,6	77	3	1036	494	non	oui	14,3	4	4	5	4	4	5	4	4	5	1	4	4	4	4
PANASONIC	LUMIX DMC GM5	Hybride	550	16	24	64	2,67	920	302	oui	oui	14,3	4	4	5	4	4	4	3	3	5	3	4	4	4	4
SONY	ILCE 5100	Hybride	500	24	24	75	3	922	408	non	oui	13,7	4	4	4	4	4	5	4	3	4	4	4	3	3	2
FUJIFILM	X A2	Hybride	500	16	24	76	3	920	565	non	non	13,7	4	3	4	4	4	5	5	4	4	1	3	4	3	2
FUJIFILM	X T10	Hybride	1100	16	27	84	3	920	702	oui	non	13,7	4	2	5	4	4	5	5	3	3	1	3	3	3	2
OLYMPUS	PEN E PL7 R	Hybride	500	16	28	84	3	1037	527	non	oui	13,3	4	3	4	4	4	5	4	4	4	1	4	3	3	3
OLYMPUS	PEN E PL7 EZ	Hybride	550	16	28	84	3	1037	506	non	oui	13	4	3	4	4	4	4	4	4	4	1	4	3	3	4
SONY	ILCE 6000	Hybride	650	24	24	75	3	922	476	oui	non	13	4	4	3	4	4	5	4	3	5	5	3	3	4	2
CANON	EOS M3	Hybride	750	24	29	88	3	1040	595	non	oui	12,9	4	3	4	4	4	5	2	4	4	2	3	3	3	1
OLYMPUS	OM DE M10	Hybride	750	16	28	84	3	1037	516	oui	oui	12,4	3	4	4	4	4	4	4	3	5	1	5	3	4	2
NIKON	1 J5	Hybride	540	21	27	81	3	1037	367	non	oui	12,3	4	3	4	5	3	5	3	3	4	1	3	3	4	1
NIKON	1 V3	Hybride	900	18	27	81	3	1037	403	non	oui	11,2	3	3	4	4	3	5	3	3	4	1	2	3	4	5
PENTAX	Q S1	Hybride	380	12	27,5	83	3	460	322	non	non	10,7	2	4	4	4	3	5	1	3	4	4	4	4	3	1
